X,Y,Z,Date And Time,Phone Id's
403,320,0,24/09/2014 11:03:47,ZX1B23QFSP48abead89f52e3bb
432,302,0,24/09/2014 11:03:47,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:03:48,TA92903URNf067ff16fcf8e045
432,320,0,24/09/2014 11:03:48,HT25TW5055273593c875a9898b00
432,302,0,24/09/2014 11:03:49,ZX1B23QFSP48abead89f52e3bb
486,320,0,24/09/2014 11:03:49,ZX1B23QBS53771758c578bbd85
340,320,0,24/09/2014 11:03:50,HT25TW5055273593c875a9898b00
307,320,0,24/09/2014 11:03:50,TA92903URNf067ff16fcf8e045
432,347,0,24/09/2014 11:03:51,HT25TW5055273593c875a9898b00
514,320,0,24/09/2014 11:03:51,ZX1B23QBS53771758c578bbd85
514,364,0,24/09/2014 11:03:52,ZX1B23QFSP48abead89f52e3bb
374,320,0,24/09/2014 11:03:52,TA92903URNf067ff16fcf8e045
432,347,0,24/09/2014 11:03:52,HT25TW5055273593c875a9898b00
514,320,0,24/09/2014 11:03:53,ZX1B23QBS53771758c578bbd85
